descriptor,expected_improvement,fingerprint,fitness,niche_index,pedigree,predicted_fitness,predicted_uncertainty,smiles
"[0.38250618117575763, 0.14721666666666713, 0.47064285714285714, 0.5918777777777783]",0.12077363903922814,[0 0 0 ... 0 0 0],0.18796992481203006,0.0,"('crossover', 'CN1CCN(N2CCN(COc3ccc(CC4SC(=O)NC4=O)cc3)CC2)CC1', 'Cc1c(C)c2c(c(C)c1O)CCC(C)(N(O)O)O2')",0.30331332157891067,1e-10,CN1CCN(N2CCN(COc3ccc(CN(O)O)cc3)CC2)CC1
"[0.26717513210909083, 0.6735933333333337, 0.5407857142857143, 0.5697555555555559]",0.12248021091016245,[0 0 0 ... 0 0 0],0.37037037037037035,2.0,"('crossover', 'Cc1c(C)c2c(c(Cc3noc(Cc4ccc(O)c(O)c4)n3)c1O)CCC(C)(C)O2', 'Cc1c(C)c2c(c(C)c1N)CC(C)(CCCc1ccc(F)cc1)O2')",0.30568631778039146,1e-10,Cc1c(C)c2c(c(C)c1N)CC(C)(Cc1ccc(O)c(O)c1)O2
"[0.28251735818181795, 0.48994333333333345, 0.2567142857142857, 0.6089200000000006]",0.04059911482392442,[0 0 0 ... 0 0 0],0.2627118644067797,4.0,"('crossover', 'Cc1c(C)c(C)c2c(c1C)CC(C)(CCO)O2', 'COCCC1(C)Cc2c(C)c(N3CCN(C)CC3)c(C)c(C)c2O1')",0.2967974619313624,1e-10,Cc1c(C)c(N2CCN(C)CC2)c(C)c2c1OC(C)(CCO)C2
"[0.5460104870424242, 0.19241666666666676, 0.4882857142857144, 0.7545300000000006]",0.008457855711388684,[0 0 0 ... 0 0 0],0.3467741935483871,5.0,"('crossover', 'CSC1(N(CC2SC(=O)NC2=O)OBr)CCc2c(C)c(O)c(C)c(C)c2O1', 'CN1CCN(N2CCN(COc3ccc(CC4SC(=O)NC4=O)cc3)CC2)CC1')",0.3030314991222414,1e-10,CN1CCN(N2CCN(Oc3ccc(CC4SC(=O)NC4=O)cc3)CC2)CC1
"[0.6149766125454547, 0.9972566666666675, 0.21042857142857144, 0.5692755555555558]",0.30265350080081843,[0 0 0 ... 0 0 0],0.35185185185185186,6.0,"('crossover', 'Cc1c(C)c2c(c(C)c1O)CCC(Br)(c1ccc(F)cc1)O2', 'COCc1ccc(OCC2SC(=O)NC2=O)cc1')",0.30265350080081843,1e-10,Cc1c(O)c(C)c2c(c1Br)OC(Br)(c1ccc(F)cc1)CC2
"[0.04584062425454544, 0.3068333333333333, 0.17814285714285716, 0.24500000000000052]",0.16841611301485124,[0 0 0 ... 0 0 0],0.17391304347826086,7.0,"('crossover', 'CON1CCN(c2c(C)c(C)c3c(c2C)CC(C)(COc2ccc(F)cc2)O3)CC1', 'Cc1c(C)c2c(c(C)c1O)CCC(Br)(N(COc1ccc(F)cc1)OBr)O2')",0.30303149763023585,1e-10,CON1CCN(COc2ccc(F)cc2)CC1
"[0.2400456913212121, 0.48286000000000007, 0.2567142857142857, 0.5548422222222227]",0.03598683286757137,[0 0 0 ... 0 0 0],0.26956521739130435,13.0,"('mutation', '[*:1]~[D2]~[*:2]>>[*:1]-[*:2]', 'Cc1c(C)c(N2CCN(C)CC2)c(C)c2c1OC(C)(CCO)C2')",0.30265349953423804,1e-10,Cc1c(C)c(N2CCN(C)C2)c(C)c2c1OC(C)(CCO)C2
"[0.7398663896484847, 0.7811266666666672, 0.7280714285714286, 0.9513111111111117]",0.0,[0 0 0 ... 0 0 0],0.6296296296296297,14.0,"('mutation', '[*:1]~[D2]~[*:2]>>[*:1]-[*:2]', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NC1(C)CCc2c(C)c(O)c(C)c(C)c2O1')",0.304513294641948,1e-10,COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)C1(C)CCc2c(C)c(O)c(C)c(C)c2O1
"[0.1396995663878787, 0.7778866666666672, 0.2797857142857143, 0.3638888888888892]",0.13901965030520533,[0 0 0 ... 0 0 0],0.18032786885245902,16.0,"('crossover', 'Cc1c(C)c2c(c(C)c1N)CC(C)(CCc1ccc(F)cc1)O2', 'Cc1ccc(-c2cc(-c3ccc([N+](=O)[O-])cc3)no2)o1')",0.305686316971872,1e-10,Cc1ccc(-c2cc(CCc3ccc(F)cc3)no2)o1
"[0.942611120060606, 0.9104600000000006, 0.6952142857142858, 0.9703388888888892]",0.07354508414775632,[0 0 0 ... 0 0 0],0.6238532110091743,18.0,"('crossover', 'Cc1c(C)c2c(c(C)c1O)CCC(C)(N(COc1ccc(F)cc1)OBr)O2', 'COc1ccc(N2CCN(N3CCN(CC4SC(=O)NC4=O)CC3)CC2)cc1')",0.2973213079239801,1e-10,Cc1c(C)c2c(c(C)c1O)CCC(C)(N(COc1ccc(C3SC(=O)NC3=O)cc1)OBr)O2
"[0.5695265435151513, 0.8491933333333338, 0.15500000000000003, 0.4338222222222225]",0.3045132926928811,[0 0 0 ... 0 0 0],0.27522935779816515,19.0,"('crossover', 'Cc1c(C)c2c(c(C)c1O)CCC(C)(c1ccc(C3SC(=O)NC3=O)cc1)O2', 'Cc1c(C)c2c(c(C)c1O)CCC(Br)(N(CF)OBr)O2')",0.3045132926928811,1e-10,Cc1c(C)c2c(c(C)c1F)CCC(Br)(N(CF)OBr)O2
"[0.7430198429818183, 0.59861, 0.8413571428571429, 0.9053088888888894]",0.0,[0 0 0 ... 0 0 0],0.44,21.0,"('crossover', 'Cc1c(C)c2c(c(C)c1O)CCC(C)(Oc1ccc(F)cc1)O2', 'Cc1c(C)c2c(c(C)c1O)CCC(C)(NC(=O)NCC1NC(=O)NC1=O)O2')",0.30758322719603004,1e-10,Cc1c(C)c2c(c(C)c1Oc1ccc(F)cc1)CCC(C)(NC(=O)NCC1NC(=O)NC1=O)O2
"[0.3002363412484847, 0.2371666666666666, 0.6695, 0.4550877777777782]",0.31196657730797495,[0 0 0 ... 0 0 0],0.32432432432432434,24.0,"('crossover', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(N(C)C)cc1', 'COc1ccc(N2CCN(Cc3ccc(F)cc3)CC2)cc1')",0.31196657730797495,1e-10,COCNC(=O)c1cc(CC2SC(=O)NC2=O)ccc1OC
