acquisition_value,descriptor,fingerprint,fitness,niche_index,pedigree,predicted_fitness,predicted_uncertainty,smiles
tensor(-3.4778),"[0.23382740170909097, 0.58581, 0.5822142857142858, 0.49136888888888924]",[0 0 0 ... 0 0 0],0.3644859813084112,2.0,"('crossover', 'Cc1c(C)c2c(c(-c3cc(-c4ccc(O)cc4)no3)c1O)CCC(C)(CN)O2', 'COc1ccc(CC2COc3c(C)c(O)c(C)c(O)c3C2=O)cc1')",0.38541943877389656,0.0019494222273747355,Cc1cc(-c2c(O)c(C)c(C)c3c2CCC(C)(CN)O3)on1
tensor(-1.0173),"[0.28851512956363623, 0.41352666666666665, 0.3226428571428572, 0.5696755555555562]",[0 0 0 ... 0 0 0],0.2627118644067797,13.0,"('crossover', 'Cc1c(C)c2c(c(-c3cc(-c4ccc(O)cc4)no3)c1O)CCC(C)(C)O2', 'COc1ccc(N2CCN(c3c(C)c(C)c4c(c3C)CC(C)(CO)O4)CC2)cc1')",0.3615740136895481,9.259103756975508e-05,CON1CCN(c2c(C)c(C)c3c(c2C)CC(C)(CO)O3)CC1
tensor(-3.5613),"[0.5640922099393938, 0.8622900000000007, 0.5402142857142858, 0.8296277777777783]",[0 0 0 ... 0 0 0],0.6767676767676768,14.0,"('crossover', 'Cc1ccc(-c2ccc(CC3SC(=O)NC3=O)cc2)o1', 'Cc1c(C)c2c(c(C3SC(=O)NC3=O)c1O)CCC(C)(C)O2')",0.4477573101946305,0.0019094736453175937,Cc1c(C)c2c(c(-c3ccc(CC4SC(=O)NC4=O)cc3)c1O)CCC(C)(C)O2
tensor(-1.3279),"[0.19120402727272728, 0.6881900000000005, 0.33235714285714285, 0.29099222222222226]",[0 0 0 ... 1 0 0],0.22123893805309736,16.0,"('crossover', 'Cc1c(C)c2c(c(O)c1O)CCC(C)(CF)O2', 'COc1ccc(CC2COc3c(C)c(C)c(C(F)(F)F)c(O)c3C2=O)cc1')",0.265026064872348,0.0017140484311610623,CCC1COc2c(C)c(C)c(C(F)(F)F)c(O)c2C1=O
tensor(-1.0212),"[0.8276977467636364, 0.9958666666666672, 0.6701428571428572, 0.9299888888888892]",[0 0 0 ... 0 0 0],0.19745222929936307,18.0,"('crossover', 'Cc1c(C)c2c(c(-c3cc(-c4ccc(O)cc4)no3)c1O)CCC(C)(C)O2', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(OC(F)(F)F)cc1')",0.3601693945098751,9.695799284030452e-05,COc1ccc(Cc2cc(-c3ccc(O)cc3)no2)cc1C(=O)NCc1ccc(OC(F)(F)F)cc1
tensor(-2.7204),"[0.6457229008969695, 0.6566733333333336, 0.8534285714285713, 0.7976022222222225]",[0 0 0 ... 0 0 0],0.373015873015873,21.0,"('crossover', 'Cc1ccc(-c2nc(CC3SC(=O)NC3=O)c(C)o2)o1', 'Cc1ccc(-c2nc(CCC(=O)C(=O)c3ccc(CC4SC(=O)NC4=O)cc3)c(C)o2)o1')",0.35156402992126085,0.0013979053059412039,Cc1ccc(-c2nc(CC(=O)C(=O)c3ccc(CC4SC(=O)NC4=O)cc3)c(C)o2)o1
tensor(-1.0255),"[0.21529300752727273, 0.20138333333333333, 0.7480714285714286, 0.3429822222222223]",[0 0 0 ... 0 0 0],0.330188679245283,24.0,"('crossover', 'Cc1c(C)c2c(c(-c3cc(-c4ccc(O)cc4)no3)c1O)CCC(C)(C)O2', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(OC(F)(F)F)cc1')",0.3586162741829709,8.863157752244823e-05,COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NO
tensor(-2.2713),"[0.3246133359878787, 0.7540400000000006, 0.2537857142857143, 0.5093944444444448]",[0 0 0 ... 1 0 0],0.35714285714285715,35.0,"('crossover', 'Cc1c(C)c2c(c(-c3ccc([N+](=O)[O-])cc3)c1O)CCC(C)(CF)O2', 'COc1ccc(CC2COc3c(C)c(C)c(C)c(F)c3C2=O)cc1')",0.36589248793265794,0.0014438336603923674,COc1ccc(CC2COc3c(F)c(C)c(C)c(F)c3C2=O)cc1
tensor(-1.0118),"[0.524910780121212, 0.5883566666666669, 0.4671428571428572, 0.831373333333334]",[0 0 0 ... 0 1 0],0.336,37.0,"('crossover', 'Cc1c(C)c2c(c(-c3cc(-c4ccc(O)cc4)no3)c1O)CCC(C)(C)O2', 'COc1ccc(N2CCN(c3c(C)c(C)c4c(c3C)CC(C)(CO)O4)CC2)cc1')",0.36355127027272455,8.632536763263718e-05,COc1ccc(N2CCN(c3c(C)c(O)c4c(c3C)CC(C)(CO)O4)CC2)cc1
tensor(-4.0324),"[0.4672411868484849, 0.7426066666666671, 0.7680714285714286, 0.7703844444444449]",[0 0 0 ... 0 0 0],0.36666666666666664,38.0,"('crossover', 'COc1ccc(CC2SC(=O)NC2=O)cc1O', 'Cc1c(C)c2c(c(-c3cc(-c4ccc(O)cc4)no3)c1O)CCC(C)(CN)O2')",0.3485017814916677,0.0016953405529244172,Cc1c(C)c2c(c(-c3cc(-c4ccc(O)cc4)no3)c1N)CCC(C)(CN)O2
tensor(-4.3161),"[0.5129152373575755, 0.9251100000000009, 0.17814285714285716, 0.901122222222223]",[0 0 0 ... 0 1 0],0.3467741935483871,40.0,"('crossover', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(OC(F)(F)F)cc1', 'COc1ccc(N2CCN(c3c(C)c(C)c4c(c3C)CC(C)(CO)O4)CC2)cc1')",0.3359327461774501,0.001181206108894804,CCC1(C)Cc2c(C)c(N3CCN(c4ccc(OC)cc4)CC3)c(C)c(C)c2O1
tensor(-3.0135),"[0.3640534434545454, 0.8562400000000007, 0.5185714285714287, 0.5888911111111115]",[0 0 0 ... 0 0 0],0.41284403669724773,42.0,"('crossover', 'COc1ccc(N2CCN(c3c(C)c(C)c4c(c3C)CC(C)(CO)O4)CC2)cc1', 'Cc1c(C)c2c(c(-c3cc(-c4ccc([N+](=O)[O-])cc4)no3)c1O)CCC(C)(CF)O2')",0.3432391040753852,0.0018591263382604136,Cc1c(C)c2c(c(-c3ccc([N+](=O)[O-])cc3)c1O)CCC(C)(CF)O2
tensor(-0.9976),"[0.3155343112363637, 0.4835233333333333, 0.7286428571428571, 0.5280277777777782]",[0 0 0 ... 1 0 0],0.3944954128440367,44.0,"('mutation', '[*;!H0;!R:1]>>[*:1]-N', 'Cc1c(O)c(C)c2c(c1O)C(=O)C(Cc1ccc(O)cc1)CO2')",0.3687757392366771,7.591476400637827e-05,Cc1c(O)c(C)c2c(c1O)C(=O)C(Cc1ccc(ON)cc1)CO2
tensor(-672.9109),"[0.348992300751515, 0.7750266666666672, 0.3982857142857143, 0.6327588888888892]",[0 0 0 ... 1 0 0],0.49038461538461536,50.0,"('crossover', 'Cc1ccc(-c2nc(CC3SC(=O)NC3=O)c(C)o2)o1', 'COc1ccc(COc2ccc(CC3COc4c(C)c(C)c(C)c(O)c4C3=O)cc2)cc1')",0.41651885768085883,0.0012408968342161797,CCOc1ccc(CC2COc3c(C)c(C)c(C)c(O)c3C2=O)cc1
tensor(-1.1486),"[0.01245539006060605, 0.5064166666666668, 0.3177142857142857, 0.3006377777777781]",[0 0 0 ... 0 0 0],0.18421052631578946,51.0,"('crossover', 'Cc1c(O)c(C)c2c(c1O)C(=O)C(Cc1ccc(ON)cc1)CO2', 'COc1ccc(CC2COc3c(C)c(O)c(C)c(O)c3C2=O)cc1')",0.31709338498638695,0.0029515541189147855,COc1ccc(Cc2ccc(ON)cc2)cc1
,"[0.5189130087393936, 0.688826666666667, 0.3226428571428572, 0.8655088888888894]",[0 0 0 ... 0 1 0],0.35772357723577236,,"('database', 'no reaction', 'no parent')",,,COc1ccc(N2CCN(c3c(C)c(C)c4c(c3C)CC(C)(CO)O4)CC2)cc1
tensor(-2.8726),"[0.4002033138787879, 0.4961033333333334, 0.6675, 0.5727800000000002]",[0 0 0 ... 0 0 0],0.3684210526315789,61.0,"('crossover', 'Cc1ccc(-c2nc(CC(=O)C(=O)c3ccc(CC4SC(=O)NC4=O)cc3)c(C)o2)o1', 'Cc1nc(CC2SC(=O)NC2=O)c(C)o1')",0.3755195644967623,0.0021184282047640043,Cc1ccc(CC(=O)C(=O)c2ccc(CC3SC(=O)NC3=O)cc2)o1
tensor(-1.4539),"[0.17282134066666668, 0.1508833333333333, 0.8266428571428571, 0.28868000000000016]",[0 0 0 ... 0 0 0],0.3269230769230769,65.0,"('mutation', '[*:1]~[D1]>>[*:1]', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NO')",0.34573387316487625,0.0023042720632612036,O=C1NC(=O)C(Cc2ccc(O)c(C(=O)NO)c2)S1
tensor(-3.3064),"[0.5065526480848482, 0.9908633333333342, 0.49214285714285716, 0.7699811111111117]",[0 0 0 ... 1 0 0],0.4152542372881356,67.0,"('crossover', 'COc1ccc(CC2COc3c(C)c(C)c(C)c(O)c3C2=O)cc1', 'Cc1ccc(-c2nc(CC3SC(=O)NC3=O)c(C)o2)o1')",0.4010529736287463,0.001740745701099134,Cc1ccc(Oc2ccc(CC3COc4c(C)c(C)c(C)c(O)c4C3=O)cc2)o1
tensor(-1.0001),"[0.4033832918060605, 0.7336900000000006, 0.8267142857142858, 0.6002177777777782]",[0 0 0 ... 0 0 0],0.3684210526315789,70.0,"('crossover', 'Cc1nc(CC2SC(=O)NC2=O)c(C)o1', 'Cc1c(C)c2c(c(-c3ccc([N+](=O)[O-])cc3)c1O)CCC(C)(CF)O2')",0.36785837925058407,0.0018448608126266667,Cc1c(C)c2c(c(-c3ccc([N+](=O)[O-])cc3)c1O)CCC(C)([N+](=O)[O-])O2
