generation,maximum fitness,mean fitness,quality diversity score,coverage,function calls,max_err,mse,mae
0,0.359993972944908,0.2297330873154012,2.9865301351002156,8.666666666666668,29,nan,nan,nan
1,0.359993972944908,0.2201099048190804,7.703846668667814,23.333333333333332,62,0.1375527471581149,0.0028783782614302564,0.04118890905540111
2,0.359993972944908,0.22477280664020644,8.990912265608257,26.666666666666668,94,0.12924654474922367,0.002492657657629594,0.038514922810714544
3,0.359993972944908,0.22740113353259675,10.687853276032047,31.333333333333336,135,0.08899611037692594,0.0009801555906159634,0.025471703272859372
4,0.359993972944908,0.22719924582207154,11.81436078274772,34.66666666666667,178,0.12877501503924602,0.0013852336483435026,0.02579462502553754
5,0.359993972944908,0.223834254798173,12.758552523495862,38.0,224,0.08895234836239913,0.0009502904959360975,0.023062997111499058
6,0.359993972944908,0.220515732098618,13.451459658015697,40.666666666666664,265,0.058375384111855194,0.0006760822824884232,0.021265759389114892
7,0.359993972944908,0.22312614379381432,14.280073202804116,42.66666666666667,312,0.09292409808950022,0.0008000372049042482,0.019917360261767946
8,0.359993972944908,0.22829135285508734,15.752103347001027,46.0,359,0.06293993204962703,0.0007934176815960359,0.02236443781033477
9,0.359993972944908,0.23226082076272034,16.722779094915865,48.0,416,0.08146990057221101,0.0006976443459273501,0.02119825500841159
10,0.359993972944908,0.23211661980558718,17.408746485419037,50.0,466,0.06478375558556851,0.000600135969384172,0.019291193422474085
11,0.359993972944908,0.23051489113950605,17.749646617741966,51.33333333333333,517,0.08777401604660401,0.0006299334542229085,0.018384191298190543
12,0.359993972944908,0.23476390576966025,18.54634855580316,52.666666666666664,567,0.1270612379285889,0.0011145136248635115,0.024701814342113427
13,0.359993972944908,0.23697606256157747,18.958085004926197,53.333333333333336,625,0.07827072763017395,0.0007641456930264707,0.021236943567485924
14,0.359993972944908,0.23763816031471832,19.486329145806902,54.666666666666664,679,0.06947958623234946,0.00061219938990773,0.019053039492785293
15,0.359993972944908,0.240033812910133,19.682772658630906,54.666666666666664,733,0.08586748758130708,0.0009339727930467507,0.023565268599226367
16,0.359993972944908,0.24246912738765397,19.882468445787627,54.666666666666664,790,0.15058831181858257,0.0010010919254826347,0.020863812515873836
17,0.359993972944908,0.24332634057486843,20.19608626771408,55.333333333333336,846,0.0847050574291491,0.0007420462326916309,0.020517373132533625
18,0.359993972944908,0.2443617653781117,20.526388291761382,56.00000000000001,901,0.0646236355119128,0.0006394551200944053,0.02084309718581984
19,0.359993972944908,0.2449876461702118,20.823949924468003,56.666666666666664,955,0.08947969728657307,0.0010953348695198453,0.024753211931462977
20,0.359993972944908,0.24675531049011418,20.974201391659705,56.666666666666664,1003,0.0772591830097705,0.00085301661818759,0.021683953926623516
21,0.359993972944908,0.2463676102405143,21.433982090924744,57.99999999999999,1062,0.10390262387610305,0.0009457726875655363,0.022923829800558015
22,0.359993972944908,0.24829645366153605,21.601791468553635,57.99999999999999,1116,0.07721441283949154,0.00079295317927704,0.022991583423955877
23,0.359993972944908,0.24922780100965483,21.68281868783997,57.99999999999999,1172,0.07350903893133262,0.000910647216016463,0.023741683314017627
24,0.359993972944908,0.2519109439005736,21.916252119349906,57.99999999999999,1220,0.08571633673338558,0.0009713084029032565,0.02324716405748019
25,0.359993972944908,0.25216462799965644,21.93832263597011,57.99999999999999,1266,0.07492782587812152,0.001219136096237618,0.028069451592177982
26,0.359993972944908,0.2510987148812543,22.096686909550378,58.666666666666664,1325,0.1064381301331907,0.0009561923238339857,0.022227844870177257
27,0.359993972944908,0.2514965713953872,22.131698282794076,58.666666666666664,1379,0.08551279075133669,0.0008610126821244719,0.022038484746497285
28,0.359993972944908,0.2517524667667785,22.405969542243284,59.333333333333336,1431,0.12490909260316671,0.0010336203384204478,0.024099040406900047
29,0.359993972944908,0.2521848679657029,22.948822984878962,60.66666666666667,1489,0.10663851465662902,0.001060584282668019,0.02453205619657692
30,0.359993972944908,0.2521848679657029,22.948822984878962,60.66666666666667,1500,0.034352529455023206,0.0003067916122435924,0.014531360762213145
