generation,maximum fitness,mean fitness,quality diversity score,coverage,function calls,max_err,mse,mae
0,0.254423670405467,0.19681179636583376,2.361741556390005,8.0,27,nan,nan,nan
1,0.3337128718929553,0.19964742666131072,6.987659933145875,23.333333333333332,62,0.09519618506353,0.0019042876820121767,0.035958442548344134
2,0.3337128718929553,0.21431938965374348,8.572775586149739,26.666666666666668,97,0.06254854624295447,0.0008894425665701162,0.02553828482253606
3,0.37814760125813895,0.21614808238916006,10.807404119458003,33.33333333333333,144,0.11245655663758591,0.0007863809652133429,0.021076130991591502
4,0.37814760125813895,0.22635808090456322,11.99697828794185,35.333333333333336,188,0.07599401867098315,0.0007760858791166419,0.02150241967518214
5,0.37814760125813895,0.2337016792217535,12.853592357196442,36.666666666666664,230,0.13484180868051737,0.0013297755447194038,0.025236463679118765
6,0.37814760125813895,0.2398073537141658,13.189404454279119,36.666666666666664,268,0.06366003356874972,0.0006874653898622101,0.020882689393226912
7,0.37814760125813895,0.23981449866723514,14.149055421366873,39.33333333333333,316,0.0941760538400237,0.0011929533034441848,0.027149585268377453
8,0.37814760125813895,0.24203383370296577,14.522030022177946,40.0,367,0.08495510914195928,0.0009540476529165578,0.023047975329331533
9,0.37814760125813895,0.24848521458550088,14.909112875130052,40.0,404,0.08235256044593883,0.001170773369575357,0.027651275633264603
10,0.37814760125813895,0.2518180279550522,15.612717733213236,41.333333333333336,455,0.07746478616974303,0.0009827549053241275,0.023979752925450147
11,0.37814760125813895,0.25307032964690046,16.70264175669543,44.0,512,0.07722817821576941,0.0007745377948863111,0.02241811044492353
12,0.37814760125813895,0.2561538415946636,16.906153545247797,44.0,560,0.06469646890472014,0.001065057875668393,0.025447753472766454
13,0.37814760125813895,0.2563843742818904,17.94690619973233,46.666666666666664,623,0.07573985303043818,0.0007628139520318651,0.020976766309123644
14,0.37814760125813895,0.25568357761452976,18.664901165860673,48.66666666666667,681,0.07593893536104049,0.0008613965297078686,0.023147147332843673
15,0.37814760125813895,0.25695938246786715,19.01499430262217,49.333333333333336,734,0.06378484791015654,0.0006180331239417844,0.019571435102388905
16,0.37814760125813895,0.25902466127027524,19.685874256540917,50.66666666666667,795,0.09015420133838936,0.0007630106093722373,0.02142531398084085
17,0.37814760125813895,0.26093024678449367,19.83069875562152,50.66666666666667,852,0.08957300800253448,0.0008288941280001879,0.02224356254576069
18,0.37814760125813895,0.259011088703203,20.461876007553037,52.666666666666664,911,0.08203105915210004,0.0005076941207483495,0.016483020712394898
19,0.37814760125813895,0.26026947626178265,20.82155810094261,53.333333333333336,967,0.09593254978108193,0.0013350103891804983,0.0279699101908682
20,0.37814760125813895,0.2615923045210695,21.18897666620663,54.0,1024,0.07473777882991392,0.000788551449397065,0.022752371671382027
21,0.37814760125813895,0.26266950950598256,21.276230269984588,54.0,1085,0.1294658900223953,0.0012145829120631018,0.024933191940659398
22,0.37814760125813895,0.2640806823097995,21.390535267093757,54.0,1141,0.11241861965015443,0.0009722101678825229,0.0223771095493759
23,0.37814760125813895,0.2665721791025928,21.592346507310015,54.0,1197,0.06550701944252518,0.0007490701403289545,0.02216957792010716
24,0.37814760125813895,0.2681412007175728,21.719437258123396,54.0,1256,0.0837053944404205,0.0009750418705648892,0.024922889083899682
25,0.37814760125813895,0.2686237129826348,22.027144464576057,54.666666666666664,1309,0.06658447089882388,0.000618260184036122,0.019226043118345568
26,0.37814760125813895,0.2695342683283964,22.101810002928502,54.666666666666664,1369,0.0793052653065908,0.001083639100583016,0.026005320634814366
27,0.37814760125813895,0.2713637189718267,22.25182495568979,54.666666666666664,1431,0.126534162735048,0.0012295416514599923,0.025304016633617733
28,0.37814760125813895,0.2701616091055546,22.693575164866584,56.00000000000001,1494,0.07394479649141489,0.0008335136586504649,0.02218992282174953
29,0.37814760125813895,0.27078488439242643,22.74593028896382,56.00000000000001,1500,0.03582254860612305,0.0008135570332905477,0.02732861102608752
