descriptor,expected_improvement,fingerprint,fitness,niche_index,pedigree,predicted_fitness,predicted_uncertainty,smiles,archive index
"[0.2701910380727273, 0.4472500000000001, 0.44142857142857145, 0.565066666666667]","tensor(0.2002, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.15376957192501148,13.0,"('crossover', 'Cc1c(C)c2c(c(-c3cc(-c4ccc([N+](=O)[O-])cc4)no3)c1O)CCC(C)(C)O2', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(N(C)C)cc1')","tensor(0.2002, dtype=torch.float64)","tensor(0.0005, dtype=torch.float64)",COc1ccc(CO)cc1C(=O)NCc1ccc(N(C)C)cc1,13
"[0.5247467081575757, 0.8824066666666673, 0.49742857142857144, 0.8310722222222224]",,[0 1 0 ... 0 0 0],0.27560578409391584,,"('database', 'no reaction', 'no parent')",,,Cc1cc(CC2SC(=O)NC2=O)cc(C)c1N(C)c1ccc(O)c(C(C)C)c1,14
"[0.576121793248485, 0.47411666666666674, 0.7712142857142857, 0.7713044444444448]","tensor(0.0011, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.25849894796822837,21.0,"('crossover', 'COc1c(C)c(C)c2c(c1CCc1ccc(O)c(O)c1)CCC(C)(C)O2', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(N(C)C)cc1')","tensor(0.2206, dtype=torch.float64)","tensor(0.0002, dtype=torch.float64)",COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(N(C)O)cc1,21
"[0.363663415369697, 0.14881666666666662, 0.9049285714285714, 0.4111877777777781]","tensor(0.2018, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.11597187199838238,24.0,"('crossover', 'Cc1oc(-c2ccccc2)nc1CN(C)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1', 'Cc1c(C)c2c(c(-c3cc(-c4ccc([N+](=O)[O-])cc4)no3)c1O)CCC(C)(C)O2')","tensor(0.2018, dtype=torch.float64)","tensor(0.0006, dtype=torch.float64)",CN([N+](=O)[O-])S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1,24
"[0.5216545836242426, 0.564186666666667, 0.5607857142857142, 0.7971100000000004]","tensor(1.8978e-13, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.22864980898245743,37.0,"('crossover', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(N(C)C)cc1', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(N(C)C)cc1')","tensor(0.2191, dtype=torch.float64)","tensor(0.0004, dtype=torch.float64)",Cc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(N(C)C)cc1,37
"[0.6671731574666666, 0.7101233333333337, 0.8182142857142858, 0.8396500000000005]","tensor(5.7114e-71, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.23139700091101026,38.0,"('crossover', 'COc1ccc(CNC(=O)c2cc(CC3SC(=O)NC3=O)ccc2OC)cc1OC', 'Cc1c(C)c2c(c(Cc3noc(CCc4ccc(O)c(O)c4)n3)c1O)CCC(C)(C)O2')","tensor(0.1986, dtype=torch.float64)","tensor(0.0006, dtype=torch.float64)",Cc1c(C)c2c(c(Cc3noc(CCCC4SC(=O)NC4=O)n3)c1O)CCC(C)(C)O2,38
"[0.5129152373575755, 0.8593600000000007, 0.17814285714285716, 0.8838666666666674]",,[0 0 0 ... 0 0 0],0.14337133553146536,,"('database', 'no reaction', 'no parent')",,,COc1ccc(CN2CCN(c3c(C)c(C)c4c(c3C)CC(C)(C)O4)CC2)cc1,40
"[0.26722482608484827, 0.8599266666666673, 0.2517857142857143, 0.5835933333333337]",,[0 0 0 ... 0 0 0],0.1596920245199087,,"('database', 'no reaction', 'no parent')",,,Cc1c(C)c2c(c(C)c1N)CC(C)(CCc1ccc(F)cc1)O2,50
"[0.5217648427393942, 0.7333233333333339, 0.3760714285714286, 0.8601522222222227]","tensor(0.0391, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.1961293283390326,53.0,"('crossover', 'Cc1cc(CC2SC(=O)NC2=O)cc(C)c1N(C)c1ccc(O)c(C(C)C)c1', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(N(C)C)cc1')","tensor(0.2200, dtype=torch.float64)","tensor(0.0006, dtype=torch.float64)",Cc1cc(CC2SC(=O)NC2=O)cc(C)c1N(C)Cc1ccc(N(C)C)cc1,53
"[0.36411400859393933, 0.4462, 0.5501428571428573, 0.6055555555555561]","tensor(0.1970, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.16693557960865307,61.0,"('crossover', 'COc1ccc(CNC(=O)c2cc(CC3SC(=O)NC3=O)ccc2OC)cc1OC', 'COc1ccc(N2CCN(c3c(C)c(C)c4c(c3C)CC(C)(CO)O4)CC2)cc1')","tensor(0.1970, dtype=torch.float64)","tensor(0.0006, dtype=torch.float64)",COc1ccc(CNC(=O)c2cc(CCO)ccc2OC)cc1OC,61
"[0.4822750412969697, 0.9040733333333341, 0.49742857142857144, 0.7782833333333337]","tensor(0.2318, dtype=torch.float64)",[0 1 0 ... 0 0 0],0.22897198981111214,67.0,"('mutation', '[*:1]~[D2]~[*:2]>>[*:1]-[*:2]', 'Cc1cc(CC2SC(=O)NC2=O)cc(C)c1N(C)c1ccc(O)c(C(C)C)c1')","tensor(0.2318, dtype=torch.float64)","tensor(0.0006, dtype=torch.float64)",Cc1cc(C2SC(=O)NC2=O)cc(C)c1N(C)c1ccc(O)c(C(C)C)c1,67
"[0.7218506697818182, 0.8995000000000006, 0.8120714285714286, 0.9852633333333336]",,[0 0 0 ... 0 0 0],0.21507333226851608,,"('database', 'no reaction', 'no parent')",,,Cc1ccc(NC(=O)C2(C)CCc3c(C)c(O)c(C)c(C)c3O2)cc1NC(=O)c1cnoc1C,72
"[0.3122883302787879, 0.28685, 0.5967857142857144, 0.4505944444444449]","tensor(0.2017, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.12291848223887064,73.0,"('crossover', 'COc1ccc(CN2CCN(c3c(C)c(C)c4c(c3C)CC(C)(C)O4)CC2)cc1', 'Cc1oc(-c2ccccc2)nc1CN(C)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1')","tensor(0.2017, dtype=torch.float64)","tensor(0.0006, dtype=torch.float64)",CCN(C)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1,73
"[0.7457341296121212, 0.6441366666666669, 0.7827142857142858, 0.8932500000000004]",,[0 0 0 ... 0 0 0],0.1746395915232448,,"('database', 'no reaction', 'no parent')",,,Cc1oc(-c2ccccc2)nc1CN(C)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1,78
"[0.0849723600969697, 0.29914999999999997, 0.5402142857142856, 0.2586722222222225]","tensor(0.2113, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.11370369649453937,81.0,"('crossover', 'COc1ccc(CNC(=O)c2cc(CC3SC(=O)NC3=O)ccc2OC)cc1OC', 'Cc1ccc(NC(=O)C2(C)CCc3c(C)c(O)c(C)c(C)c3O2)cc1NC(=O)c1cnoc1C')","tensor(0.2113, dtype=torch.float64)","tensor(0.0005, dtype=torch.float64)",COc1ccc(CC2SC(=O)NC2=O)cc1O,81
"[0.26419326669090903, 0.6256000000000004, 0.29692857142857143, 0.6034577777777782]","tensor(0.1996, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.1401845781630404,82.0,"('crossover', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(N(C)C)cc1', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(N(C)C)cc1')","tensor(0.1996, dtype=torch.float64)","tensor(0.0005, dtype=torch.float64)",CCc1ccc(OC)c(C(=O)NCc2ccc(N(C)C)cc2)c1,82
"[0.43980337443636347, 0.7465766666666672, 0.49742857142857144, 0.7271611111111114]","tensor(0.0500, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.22924045275048363,83.0,"('crossover', 'Cc1c(C)c2c(c(Cc3noc(CCc4ccc(O)c(O)c4)n3)c1O)CCC(C)(C)O2', 'Cc1cc(CC2SC(=O)NC2=O)cc(C)c1N(C)c1ccc(O)c(C(C)C)c1')","tensor(0.2389, dtype=torch.float64)","tensor(0.0004, dtype=torch.float64)",Cc1cc(N(C)c2c(C)cc(CC3SC(=O)NC3=O)cc2C)ccc1O,83
"[0.7429163361575759, 0.36691666666666656, 0.8345714285714285, 0.9618288888888892]","tensor(0.2151, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.19767254994845457,88.0,"('crossover', 'Cc1c(C)c2c(c(-c3cc(-c4ccc([N+](=O)[O-])cc4)no3)c1O)CCC(C)(C)O2', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(N(C)C)cc1')","tensor(0.2151, dtype=torch.float64)","tensor(0.0003, dtype=torch.float64)",COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCC(=O)NCc1ccc(N(C)C)cc1,88
"[0.6701550228848482, 0.3724833333333331, 0.758, 0.8645522222222225]","tensor(0.2039, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.18527115858840884,90.0,"('mutation', '[*;!R:1]~[*:2]>>[*:1]C[*:2]', 'COc1ccc(CNC(=O)c2cc(CC3SC(=O)NC3=O)ccc2OC)cc1OC')","tensor(0.2039, dtype=torch.float64)","tensor(0.0005, dtype=torch.float64)",COc1ccc(CNC(=O)c2cc(CC3SC(CO)NC3=O)ccc2OC)cc1OC,90
"[0.266900801030303, 0.6260500000000002, 0.3957142857142857, 0.5227966666666669]","tensor(0.2001, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.1529662461979448,98.0,"('crossover', 'COc1ccc(CN2CCN(c3c(C)c(C)c4c(c3C)CC(C)(C)O4)CC2)cc1', 'Cc1oc(-c2ccccc2)nc1CN(C)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1')","tensor(0.2001, dtype=torch.float64)","tensor(0.0006, dtype=torch.float64)",COc1ccc(-c2ccc(CC3SC(=O)NC3=O)cc2)cc1,98
"[0.17634428612121217, 0.9514600000000007, 0.16764285714285712, 0.5656866666666671]","tensor(0.2243, dtype=torch.float64)",[0 1 0 ... 0 0 0],0.11477819410139058,102.0,"('crossover', 'Cc1cc(CC2SC(=O)NC2=O)cc(C)c1N(C)c1ccc(O)c(C(C)C)c1', 'COc1ccc(CN2CCN(c3c(C)c(C)c4c(c3C)CC(C)(C)O4)CC2)cc1')","tensor(0.2243, dtype=torch.float64)","tensor(0.0006, dtype=torch.float64)",Cc1cc(C)c(N(C)c2ccc(O)c(C(C)C)c2)c(C)c1,102
"[0.027577097903030298, 0.3880666666666667, 0.5670000000000001, 0.23172888888888923]","tensor(0.1966, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.14003869009131853,105.0,"('crossover', 'Cc1c(C)c2c(c(Cc3noc(CCc4ccc(O)c(O)c4)n3)c1O)CCC(C)(C)O2', 'Cc1cc(CC2SC(=O)NC2=O)cc(C)c1N(C)c1ccc(O)c(C(C)C)c1')","tensor(0.1966, dtype=torch.float64)","tensor(0.0007, dtype=torch.float64)",CCc1noc(CCc2ccc(O)c(O)c2)n1,105
"[0.3975719981090907, 0.8520066666666675, 0.4208571428571429, 0.6963955555555562]",,[0 0 0 ... 0 0 0],0.15002660911136403,,"('database', 'no reaction', 'no parent')",,,COc1c(C)c(C)c2c(c1CCc1ccc(O)c(O)c1)CCC(C)(C)O2,108
"[0.3521681598060604, 0.9957566666666676, 0.2517857142857143, 0.6875044444444449]","tensor(0.1719, dtype=torch.float64)",[0 1 0 ... 0 0 0],0.16594550106905145,110.0,"('crossover', 'Cc1cc(CC2SC(=O)NC2=O)cc(C)c1N(C)c1ccc(O)c(C(C)C)c1', 'Cc1c(C)c2c(c(C)c1N)CC(C)(CCc1ccc(F)cc1)O2')","tensor(0.1719, dtype=torch.float64)","tensor(0.0005, dtype=torch.float64)",Cc1c(N)c(C(C)C)c(C)c2c1CC(C)(CCc1ccc(F)cc1)O2,110
"[0.4701127931515149, 0.9087900000000007, 0.7045, 0.7064355555555559]","tensor(0.0122, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.16378171261548197,115.0,"('mutation', '[*:1]~[D4](~[*;!H0;!H1:2])(~[*:3])~[*:4]>>[*:1]-[*:2](-[*:3])-[*:4]', 'Cc1c(C)c2c(c(-c3cc(-c4ccc([N+](=O)[O-])cc4)no3)c1O)CCC(C)(C)O2')","tensor(0.1751, dtype=torch.float64)","tensor(0.0005, dtype=torch.float64)",Cc1c(C)c2c(c(-c3cc(-c4ccc([N+](=O)[O-])cc4)no3)c1O)CCC(C)O2,115
"[0.057908922339393945, 0.6465666666666671, 0.1977857142857143, 0.35037777777777834]","tensor(0.1823, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.0956569457882367,118.0,"('crossover', 'COc1ccc(CN2CCN(c3c(C)c(C)c4c(c3C)CC(C)(C)O4)CC2)cc1', 'COc1ccc(CNC(=O)c2cc(CC3SC(=O)NC3=O)ccc2OC)cc1OC')","tensor(0.1823, dtype=torch.float64)","tensor(0.0008, dtype=torch.float64)",COc1ccc(-c2ccc(OC)c(OC)c2)cc1,118
"[0.20929523614545445, 0.24148333333333327, 0.6035714285714286, 0.3889544444444449]","tensor(0.2163, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.12492478087691905,121.0,"('crossover', 'COc1ccc(CN2CCN(c3c(C)c(C)c4c(c3C)CC(C)(C)O4)CC2)cc1', 'COc1ccc(CNC(=O)c2cc(CC3SC(=O)NC3=O)ccc2OC)cc1OC')","tensor(0.2163, dtype=torch.float64)","tensor(0.0004, dtype=torch.float64)",CNC(=O)c1cc(CC2SC(=O)NC2=O)ccc1OC,121
