descriptor,expected_improvement,fingerprint,fitness,niche_index,pedigree,predicted_fitness,predicted_uncertainty,smiles,archive index
"[0.3547940376848485, 0.16649999999999995, 0.6535000000000001, 0.5255388888888892]","tensor(1.0172e-10, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.23546705542662538,0,"('mutation', '[*;!H0:1]-[*;!H0:2]>>[*:1]=[*:2]', 'CN(CCCc1noc(CCCO)n1)CC1SC(=S)NC1=O')","tensor(0.2187, dtype=torch.float64)","tensor(0.0024, dtype=torch.float64)",CN(C=CCc1noc(CCCO)n1)CC1SC(=S)NC1=O,0
"[0.27633310911515147, 0.5171950000000001, 0.6160000000000001, 0.5552833333333338]","tensor(0.0194, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.31557748122771967,2,"('crossover', 'COc1ccc(CCO)cc1CN(C)S(=O)(=O)c1ccc(CC2=NC(=O)NC2=O)cc1', 'CN(C=N)c1ccc(CCCc2noc(CCO)n2)cc1')","tensor(0.2698, dtype=torch.float64)","tensor(0.0011, dtype=torch.float64)",CN(C=N)c1ccc(CCCc2noc(CCCCO)n2)cc1,2
"[0.6541798927272728, 0.6154950000000001, 0.549, 0.4910911111111111]","tensor(0.2164, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.17347784354659465,3,"('crossover', 'Cc1c(C)c2c(c(C)c1C=N)CCC(C)(CCc1noc(CCC3SN(O)C3=O)n1)O2', 'N=CN(Br)c1ccc(CCc2noc(COC(F)(Br)C3SN(O)C3=O)n2)cc1')","tensor(0.2164, dtype=torch.float64)","tensor(0.0021, dtype=torch.float64)",N=CN(Br)c1ccc(COC(F)(Br)C2SN(O)C2=O)cc1,3
"[0.248731224739394, 0.4827700000000001, 0.25414285714285717, 0.5508633333333337]","tensor(0.0132, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.1309347745192357,4,"('mutation', '[*:1]~[D1]>>[*:1]', 'Cc1cc(C=C2SC(=S)NC2=O)cc(C)c1N(C)N(C)C')","tensor(0.1429, dtype=torch.float64)","tensor(0.0023, dtype=torch.float64)",Cc1cc(C=C2SC(=S)NC2=O)ccc1N(C)N(C)C,4
"[0.6905659348121213, 0.8731833333333338, 0.20785714285714288, 0.6286966666666669]","tensor(0.1493, dtype=torch.float64)",[0 0 1 ... 0 0 0],0.13641730600121016,6,"('crossover', 'O=C1C(C(F)(Br)CCc2ccc(Br)cc2)SN1O', 'Cc1c(C)c2c(c(C)c1C=N)CCC(C)(CCc1noc(CCC3SC(=S)NC3=O)n1)O2')","tensor(0.1493, dtype=torch.float64)","tensor(0.0026, dtype=torch.float64)",O=C1NC(=S)SC1CCC(F)(Br)CCc1ccc(Br)cc1,6
"[0.018402811842424233, 0.26150333333333337, 0.35235714285714287, 0.19431000000000026]","tensor(0.1437, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.10111691186675595,7,"('crossover', 'Oc1ccc(CCc2nc(C=CF)no2)cc1O', 'Cc1ccc(CCO)cc1S(=O)NCN(C)c1c(C)cc(C2SN(O)C2=O)cc1C')","tensor(0.1437, dtype=torch.float64)","tensor(0.0026, dtype=torch.float64)",Cc1ccc(CCO)cc1S(=O)NCF,7
"[0.7939194947878787, 0.4844833333333334, 0.6779285714285714, 0.6839900000000004]","tensor(0.1603, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.281625054783938,10,"('crossover', 'O=C1C(C(F)(Br)CCOCc2nc(Cc3ccc(Br)cc3)no2)SN1O', 'O=S(=O)(CCCCc1cc(CCO)ccc1F)c1ccc(C2SC(=S)N2O)cc1')","tensor(0.3069, dtype=torch.float64)","tensor(0.0026, dtype=torch.float64)",O=C1C(C(F)(Br)CS(=O)(=O)CCCCc2cc(CCO)ccc2F)SN1O,10
"[0.3097570580848486, 0.5841733333333335, 0.31214285714285717, 0.6567622222222228]","tensor(0.0336, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.26625174907566346,13,"('crossover', 'Cc1cc(CC2SC(=O)NC2=O)ccc1CN(C)Cc1cc(CCO)ccc1C', 'Cc1c(C)c2c(c(C)c1CCO)CCC(C)(CCc1noc(CCCO)n1)O2')","tensor(0.2646, dtype=torch.float64)","tensor(0.0018, dtype=torch.float64)",Cc1cc(CCO)ccc1CN(C)Cc1cc(CCO)ccc1C,13
"[0.6971803012242426, 0.729766666666667, 0.556, 0.8353122222222226]","tensor(3.0358e-275, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.4778028936982129,14,"('mutation', '[*:1]~[D3](~[*;!H0:2])~[*:3]>>[*:1]-[*:2]-[*:3]', 'O=C1NC(=S)SC1c1ccc(S(=O)(=O)CCCCc2cc(CCO)ccc2F)cc1')","tensor(0.3531, dtype=torch.float64)","tensor(0.0023, dtype=torch.float64)",O=S(=O)(CCCCc1cc(CCO)ccc1F)c1ccc(C2SC(=S)N2O)cc1,14
"[0.8123436298545452, 0.9530766666666676, 0.5, 0.7910700000000004]","tensor(2.3932e-34, dtype=torch.float64)",[0 1 0 ... 0 0 0],0.2748596992715062,18,"('mutation', '[*;!H0;!R:1]>>[*:1]-F', 'Cc1c(C)c2c(c(C)c1O)CCC(C)(CCC(F)(Br)CCC1SN(O)C1=O)O2')","tensor(0.2494, dtype=torch.float64)","tensor(0.0021, dtype=torch.float64)",Cc1c(C)c2c(c(C)c1O)CCC(C)(C(F)CC(F)(Br)CCC1SN(O)C1=O)O2,18
