index,smiles,pedigree,descriptors,fitnesses
2,Cc1c(O)c(C)c2c(c1O)C(=O)C(Cc1ccc(O)cc1)CO2,"('database', 'no reaction', 'no parent')","[0.2700467384121211, 0.5590400000000003, 0.6213571428571429, 0.4930211111111114]",0.35454545454545455
3,Cc1oc(C(F)(F)F)nc1CN(C)S(=O)(=O)c1ccc(OC(F)(F)F)cc1,"('crossover', 'CN(Cc1ccc(OC(F)(F)F)cc1)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1', 'Cc1oc(C(F)(F)F)nc1CN(C)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1')","[0.5849763551030303, 0.7035200000000005, 0.5188571428571429, 0.42244222222222255]",0.18045112781954886
4,COCC1(C)Cc2c(C)c(N3CCN(OC)CC3)c(C)c(C)c2O1,"('mutation', '[*;!H0;!R:1]>>[*:1]-C', 'CON1CCN(c2c(C)c(C)c3c(c2C)CC(C)(CO)O3)CC1')","[0.33098679642424234, 0.5225433333333336, 0.24407142857142858, 0.6229000000000007]",0.256198347107438
7,COc1ccc(S(=O)(=O)N(C)OC)cc1,"('crossover', 'CCC1COc2c(C)c(O)c(C)c(Cc3nc(C(F)(F)C(F)(F)F)oc3C)c2C1=O', 'CON(C)S(=O)(=O)c1ccc(OC(F)(F)F)cc1')","[0.018353117866666678, 0.22951666666666667, 0.39885714285714285, 0.16613111111111148]",0.17757009345794392
13,CCON1CCN(c2c(C)c(C)c3c(c2C)CC(C)(CO)O3)CC1,"('mutation', '[*;!H0;!R:1]>>[*:1]-C', 'CON1CCN(c2c(C)c(C)c3c(c2C)CC(C)(CO)O3)CC1')","[0.33098679642424234, 0.4785433333333334, 0.3226428571428572, 0.6209755555555562]",0.26666666666666666
14,Cc1c(C)c2c(c(C)c1O)CC(C)(Cc1ccc(CC3SC(=O)NC3=O)cc1)O2,"('crossover', 'CN(c1ccc(OC(F)(F)F)cc1)S(=O)c1ccc(CC2SC(=O)NC2=O)cc1', 'Cc1c(C)c2c(c(C)c1O)CC(C)(Cc1ccc(OC(F)(F)F)cc1)O2')","[0.5640922099393938, 0.7746433333333337, 0.5402142857142858, 0.8202500000000005]",0.7291666666666666
16,Cc1ccc(-c2nc(CCc3ccc(F)cc3)c(C)o2)o1,"('mutation', '[*;!R:1]~[*:2]>>[*:1]C[*:2]', 'Cc1ccc(-c2nc(Cc3ccc(F)cc3)c(C)o2)o1')","[0.18217123324848475, 0.8292900000000004, 0.2797857142857143, 0.41652222222222246]",0.2066115702479339
18,Cc1c(C)c2c(c(C)c1O)CC(Cc1ccc(O)cc1)(CS(=O)(=O)c1ccc(OC(F)(F)F)cc1)O2,"('mutation', '[*:1]~[D3](~[*;!H0:2])~[*:3]>>[*:1]-[*:2]-[*:3]', 'Cc1c(C)c2c(c(C)c1O)CC(Cc1ccc(O)cc1)(N(C)S(=O)(=O)c1ccc(OC(F)(F)F)cc1)O2')","[0.9004011944848481, 0.9686600000000009, 0.6647142857142857, 0.9596600000000003]",0.3939393939393939
19,Cc1c(C)c(C(F)(F)F)c(C)c2c1OC(C)(COC(F)(F)F)C2,"('crossover', 'Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)NF)O2', 'Cc1c(C)c2c(c(C)c1O)CC(C)(COC(F)(F)F)O2')","[0.3548649971878788, 0.8934433333333338, 0.13185714285714287, 0.337766666666667]",0.2608695652173913
21,Cc1c(C)c2c(c(CN)c1O)CC(C)(Cc1ccc(CC3SC(=O)NC3=O)cc1)O2,"('crossover', 'NCOc1ccc(CC2CC(=O)NC2=O)cc1', 'Cc1c(C)c2c(c(C)c1O)CC(C)(Cc1ccc(CC3SC(=O)NC3=O)cc1)O2')","[0.6095797827636362, 0.6330233333333336, 0.7260714285714285, 0.8552988888888894]",0.625
24,Cc1c(C)c2c(c(C)c1O)CCC(C(=O)NF)(S(=O)(=O)N(C)O)O2,"('crossover', 'CN(c1ccc(OC(C)(F)F)cc1)S(=O)c1ccc(CC2SC(=O)NC2=O)cc1', 'Cc1c(C)c2c(c(C)c1O)CCC(C(=O)NF)(S(=O)(=O)N(C)c1ccc(OC(F)(F)F)cc1)O2')","[0.4154387440848483, 0.24837666666666666, 0.8297857142857143, 0.4635311111111114]",0.3333333333333333
27,Cc1oc(F)nc1CN(C)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1,"('crossover', 'Cc1c(C)c2c(c(C)c1N)CC(C)(CCc1ccc(F)cc1)O2', 'Cc1oc(-c2ccccc2)nc1CN(C)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1')","[0.5698531540363635, 0.3894866666666667, 0.7827142857142858, 0.6101611111111115]",0.3793103448275862
28,CON1CCN(ON2CCN(c3c(C)c(C)c4c(c3C)CC(C)(COC(F)(F)F)O4)CC2)CC1,"('crossover', 'CON1CCN(c2c(C)c(C)c3c(c2C)CC(C)(COC(F)(F)F)O3)CC1', 'COc1ccc(-c2cc(-c3c(O)c(C)c(C)c4c3CCC(C)(C3SC(=O)NC3=O)O4)on2)cc1')","[0.7977607280606059, 0.581576666666667, 0.35628571428571437, 0.8935888888888897]",0.2080536912751678
35,COc1ccc(CC2(C)Cc3c(C)c(O)c(C)c(F)c3O2)cc1,"('crossover', 'COc1ccc(CC2(C)Cc3c(C)c(O)c(C)c(C)c3O2)cc1', 'Cc1oc(C(F)(F)F)nc1CN(C)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1')","[0.27620446288484846, 0.7655066666666671, 0.27635714285714286, 0.5219311111111116]",0.44660194174757284
37,Cc1c(C)c2c(c(C)c1O)CC(C)(Cc1ccc(CC3SC(CO)NC3=O)cc1)O2,"('mutation', '[*;!R:1]~[*:2]>>[*:1]C[*:2]', 'Cc1c(C)c2c(c(C)c1O)CC(C)(Cc1ccc(CC3SC(=O)NC3=O)cc1)O2')","[0.6126719072969696, 0.6410433333333336, 0.5627857142857143, 0.881114444444445]",0.5363636363636364
38,Cc1c(C)c2c(c(C)c1O)CC(C)(C(=O)c1cc(-c3ccc([N+](=O)[O-])cc3)no1)O2,"('mutation', '[*;!H0;!R;!H1:1]>>[*:1]=O', 'Cc1c(C)c2c(c(C)c1O)CC(C)(Cc1cc(-c3ccc([N+](=O)[O-])cc3)no1)O2')","[0.5549458677575756, 0.8261933333333341, 0.8264285714285714, 0.7553188888888892]",0.36585365853658536
40,COc1ccc(CC2CCN(c3c(C)c(C)c4c(c3C)CC(C)(C)O4)C2)cc1,"('mutation', '[*:1]~[D3](~[*;!H0:2])~[*:3]>>[*:1]-[*:2]-[*:3]', 'COc1ccc(CN2CCN(c3c(C)c(C)c4c(c3C)CC(C)(C)O4)CC2)cc1')","[0.4674276645333333, 0.9838266666666676, 0.15500000000000003, 0.8453555555555563]",0.4017094017094017
42,Cc1ccc(-c2nc(C3SC(=O)NC3=O)c(-c3ccc(C)o3)o2)o1,"('crossover', 'Cc1ccc(-c2nc(C3SC(=O)NC3=O)c(C)o2)o1', 'COc1ccc(CN2CCN(c3c(C)c(C)c4c(c3C)CC(C)(C)O4)CC2)cc1')","[0.36074755298181804, 0.7225900000000004, 0.7034285714285714, 0.5027966666666668]",0.29411764705882354
44,Cc1c(C)c2c(c(OCCN)c1O)CCC(C)(C1SC(=O)NC1=O)O2,"('mutation', '[*:1]!-[*:2]>>[*:1]-[*:2]', 'Cc1c(C)c2c(c(OCC=N)c1O)CCC(C)(C1SC(=O)NC1=O)O2')","[0.42765134183030284, 0.3803066666666666, 0.792, 0.604465555555556]",0.4666666666666667
45,Cc1oc(C(F)(F)F)nc1CN(C)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1,"('crossover', 'Cc1oc(-c2ccccc2)nc1CN(C)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(OC(F)(F)F)cc1')","[0.7213586280969695, 0.5361033333333335, 0.7827142857142858, 0.6662055555555558]",0.35772357723577236
50,COc1ccc(CC2(C)Cc3c(C)c(O)c(C)c(C)c3O2)cc1,"('crossover', 'COC1(C)CCc2c(O)c(O)c(C)c(C)c2O1', 'Cc1c(C)c2c(c(C)c1O)CC(C)(Cc1ccc(OC(F)(F)F)cc1)O2')","[0.26415922614545445, 0.7937266666666671, 0.27635714285714286, 0.5750311111111117]",0.5204081632653061
51,COCC1(C)Cc2c(C)c(O)c(C)c(C)c2O1,"('crossover', 'COCC1(C)Cc2c(C)c(N3CCN(OC)CC3)c(C)c(C)c2O1', 'CCC1COc2c(C)c(O)c(C)c(Cc3nc(C(F)(F)C(F)(F)F)oc3C)c2C1=O')","[0.033761346969696966, 0.5262433333333335, 0.27635714285714286, 0.2992311111111116]",0.37894736842105264
53,COc1ccc(CCN2CCN(c3cc(CC4SC(=O)NC4=O)ccc3C)CC2)cc1,"('crossover', 'Cc1ccc(CC2SC(=O)NC2=O)cc1C', 'COc1ccc(CCN2CCN(c3c(C)c(C)c4c(c3C)CC(C)(O)O4)CC2)cc1')","[0.6490695842060605, 0.6270700000000003, 0.442, 0.9461300000000006]",0.3779527559055118
55,Cc1oc(C(F)(F)F)nc1CN(C)S(=O)c1ccc(OC(F)(F)F)cc1,"('mutation', '[*:1]~[D1]>>[*:1]', 'Cc1oc(C(F)(F)F)nc1CN(C)S(=O)(=O)c1ccc(OC(F)(F)F)cc1')","[0.536506916860606, 0.7591700000000005, 0.39692857142857146, 0.4138044444444448]",0.17424242424242425
60,COc1ccc(CCOc2ccc(CC3CC(=O)NC3=O)cc2)cc1C(=O)NO,"('crossover', 'NNCOc1ccc(CC2CC(=O)NC2=O)cc1', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NO')","[0.524690261890909, 0.3568166666666667, 0.814, 0.698315555555556]",0.3023255813953488
61,CONC1(C)CCc2c(CC3SC(=O)NC3=O)c(O)c(C)c(C)c2O1,"('crossover', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NO', 'CONC1(C)CCc2c(c(C)c(C)c(O)c2-c2cc(-c3ccc([N+](=O)[O-])cc3)no2)O1')","[0.42765134183030284, 0.4325566666666667, 0.6920714285714287, 0.5966800000000003]",0.5247524752475248
65,NNCOc1ccc(CC2CC(=O)NC2=O)cc1,"('mutation', '[*;!R:1]~[*:2]>>[*:1]N[*:2]', 'NCOc1ccc(CC2CC(=O)NC2=O)cc1')","[0.07306467072727271, 0.03189999999999993, 0.6674999999999999, 0.26912000000000014]",0.3300970873786408
67,Cc1c(C)c2c(c(C)c1O)CC(C)(CCc1ccc(C3SN(O)C3=O)cc1)O2,"('mutation', '[*:1]~[D3](~[*;!H0:2])~[*:3]>>[*:1]-[*:2]-[*:3]', 'Cc1c(C)c2c(c(C)c1O)CC(C)(CCc1ccc(C3SC(=O)NC3=O)cc1)O2')","[0.5277285735757575, 0.8440933333333341, 0.5, 0.7642477777777783]",0.4818181818181818
72,COc1ccc(-c2cc(-c3c(O)c(C)c(C)c4c3CCC(C)(C3SC(=O)NC3=O)O4)on2)cc1,"('crossover', 'COc1ccc(-c2cc(-c3c(O)c(C)c(C)c4c3CCC(C)(C)O4)on2)cc1', 'Cc1oc(-c2ccccc2)nc1CN(C)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1')","[0.7731379014787876, 0.8791566666666673, 0.7920714285714285, 0.9704166666666669]",0.49586776859504134
73,Cc1c(C)c2c(c(C)c1O)CC(C)(COC1SC(=O)NC1=O)O2,"('crossover', 'Cc1c(C)c2c(c(C)c1O)CC(C)(COC(F)(F)F)O2', 'CN(CCC1SC(=O)NC1=O)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1')","[0.33969210214545453, 0.47279333333333334, 0.6061428571428571, 0.5102722222222227]",0.5257731958762887
78,Cc1c(C)c2c(c(C)c1O)CCC(C(=O)NF)(S(=O)(=O)N(C)c1ccc(OC(F)(F)F)cc1)O2,"('crossover', 'CN(c1ccc(OC(F)(F)F)cc1)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1', 'Cc1c(C)c2c(c(C)c1O)CCC(C(=O)NF)(c1c(C)c(C)c3c(c1C)CCC(C)(C(=O)NF)O3)O2')","[0.8518590009212119, 0.7007100000000004, 0.7512142857142857, 0.8188477777777781]",0.408
