descriptor,expected_improvement,fingerprint,fitness,niche_index,pedigree,predicted_fitness,predicted_uncertainty,smiles,archive index
"[0.2700467384121211, 0.5590400000000003, 0.6213571428571429, 0.4930211111111114]",,[0 0 0 ... 1 0 0],0.15959340696702118,,"('database', 'no reaction', 'no parent')",,,Cc1c(O)c(C)c2c(c1O)C(=O)C(Cc1ccc(O)cc1)CO2,2
"[0.26419326669090903, 0.5043033333333334, 0.3755, 0.5989777777777783]","tensor(0.0662, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.17091211771061157,13.0,"('crossover', 'COc1ccc(CC2SC(=O)NC2=O)cc1CO', 'Cc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(N(C)C)cc1')","tensor(0.1917, dtype=torch.float64)","tensor(0.0013, dtype=torch.float64)",Cc1ccc(CCO)cc1C(=O)NCc1ccc(N(C)C)cc1,13
"[0.6944128573696968, 0.8120633333333339, 0.7480714285714285, 0.9261244444444449]","tensor(2.0475e-269, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.3350854647186567,14.0,"('crossover', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCO', 'Cc1ccc(NC(=O)C2(C)CCc3c(C)c(O)c(C)c(C)c3O2)cc1NC(=O)c1cnoc1C')","tensor(0.2253, dtype=torch.float64)","tensor(0.0010, dtype=torch.float64)",Cc1ccc(NC(=O)C2(C)CCc3c(C)c(O)c(C)c(C)c3O2)cc1C1SC(=O)NC1=O,14
"[0.8941598435272726, 0.7474666666666671, 0.7354285714285714, 0.7993655555555557]","tensor(0.1965, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.22086302251697262,18.0,"('crossover', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(OC(F)(F)F)cc1', 'Cc1c(C)c2c(c(C)c1N)CC(C)(CSc1ccc(O)cc1)O2')","tensor(0.1965, dtype=torch.float64)","tensor(0.0003, dtype=torch.float64)",COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(OC(F)(F)OC(F)(F)F)cc1,18
"[0.5729956281696967, 0.5354866666666669, 0.7914285714285715, 0.7310933333333335]","tensor(0.0001, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.21543069632214965,21.0,"('mutation', '[*;!H0;!R;!H1:1]>>[*:1]=O', 'COc1ccc(CC2SC(=O)NC2=O)cc1OC(=O)NCc1ccc(C)cc1')","tensor(0.2110, dtype=torch.float64)","tensor(0.0008, dtype=torch.float64)",Cc1ccc(CNC(=O)Oc2cc(CC3SC(=O)NC3=O)ccc2OC=O)cc1,21
"[0.20929523614545445, 0.17811999999999997, 0.6821428571428572, 0.3816966666666668]","tensor(0.0421, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.1290809671981798,24.0,"('crossover', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCO', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCO')","tensor(0.1664, dtype=torch.float64)","tensor(0.0007, dtype=torch.float64)",Cc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCO,24
"[0.1882289141454545, 0.7014900000000005, 0.2517857142857143, 0.40344888888888925]","tensor(0.1936, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.10815408727158948,35.0,"('crossover', 'Cc1c(N)c(CF)c(C)c2c1CC(C)(CSc1ccc(O)cc1)O2', 'Cc1c(N)c(CF)c(C)c2c1CC(C)(CSc1ccc(O)cc1)O2')","tensor(0.1936, dtype=torch.float64)","tensor(0.0011, dtype=torch.float64)",Cc1c(N)c(CF)c(C)c2c1CC(C)(CSCF)O2,35
"[0.5155465531272728, 0.6358200000000003, 0.5607857142857142, 0.8024988888888891]","tensor(2.5522e-41, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.24721832905224733,37.0,"('mutation', '[*;!H0:1]-[*;!H0:2]>>[*:1]=[*:2]', 'Cc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(N(C)C)cc1')","tensor(0.2154, dtype=torch.float64)","tensor(0.0014, dtype=torch.float64)",Cc1ccc(C=C2SC(=O)NC2=O)cc1C(=O)NCc1ccc(N(C)C)cc1,37
"[0.5702880938303031, 0.778576666666667, 0.8565714285714285, 0.8437522222222229]","tensor(3.1927e-302, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.27817391507913464,38.0,"('mutation', '[*;!R:1]~[*:2]>>[*:1]N[*:2]', 'Cc1ccc(NC(=O)C2(C)CCc3c(C)c(O)c(C)c(C)c3O2)cc1NC(=O)O')","tensor(0.2320, dtype=torch.float64)","tensor(0.0008, dtype=torch.float64)",CNc1c(C)c(O)c(C)c2c1OC(C)(C(=O)Nc1ccc(C)c(NC(=O)O)c1)CC2,38
"[0.5553869042181816, 0.8746266666666674, 0.2567142857142857, 0.9492533333333342]","tensor(0.0426, dtype=torch.float64)",[0 1 0 ... 0 1 0],0.15707727814035236,40.0,"('crossover', 'Cc1ccc(CC2CC(=O)NC(=O)S2)c(C)c1Oc1ccc(O)c(C(C)C)c1', 'COc1ccc(N2CCN(c3c(C)c(C)c4c(c3C)CC(C)(CO)O4)CC2)cc1')","tensor(0.1868, dtype=torch.float64)","tensor(0.0004, dtype=torch.float64)",Cc1c(C)c(N2CCN(c3ccc(C(C)C)cc3)CC2)c(C)c2c1OC(C)(CO)C2,40
