descriptor,expected_improvement,fingerprint,fitness,niche_index,pedigree,predicted_fitness,predicted_uncertainty,smiles,archive index
"[0.2700467384121211, 0.5590400000000003, 0.6213571428571429, 0.4930211111111114]",,[0 0 0 ... 1 0 0],0.15959340696702118,,"('database', 'no reaction', 'no parent')",,,Cc1c(O)c(C)c2c(c1O)C(=O)C(Cc1ccc(O)cc1)CO2,2
"[0.28851512956363623, 0.41352666666666665, 0.3226428571428572, 0.5696755555555562]","tensor(0.1779, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.1255473019140265,13.0,"('crossover', 'Cc1c(C)c2c(c(Cc3noc(CCc4ccc(O)c(O)c4)n3)c1O)CCC(C)(C)O2', 'COc1ccc(N2CCN(c3c(C)c(C)c4c(c3C)CC(C)(CO)O4)CC2)cc1')","tensor(0.1779, dtype=torch.float64)","tensor(0.0005, dtype=torch.float64)",CON1CCN(c2c(C)c(C)c3c(c2C)CC(C)(CO)O3)CC1,13
"[0.5247467081575757, 0.8824066666666673, 0.49742857142857144, 0.8310722222222224]",,[0 1 0 ... 0 0 0],0.2612137671078675,,"('database', 'no reaction', 'no parent')",,,Cc1cc(CC2SC(=O)NC2=O)cc(C)c1N(C)c1ccc(O)c(C(C)C)c1,14
"[0.8941598435272726, 0.7474666666666671, 0.7354285714285714, 0.7993655555555557]","tensor(0.1965, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.22086302251697262,18.0,"('crossover', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(OC(F)(F)F)cc1', 'Cc1c(C)c2c(c(C)c1N)CC(C)(CSc1ccc(O)cc1)O2')","tensor(0.1965, dtype=torch.float64)","tensor(0.0003, dtype=torch.float64)",COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(OC(F)(F)OC(F)(F)F)cc1,18
"[0.7004446692969698, 0.4658166666666667, 0.8345714285714285, 0.9120733333333335]","tensor(0.0080, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.2109384150395431,21.0,"('crossover', 'Cc1ccc(CC2CC(=O)NC(=O)S2)c(C)c1Oc1ccc(O)c(C(C)C)c1', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(N(C)C)cc1')","tensor(0.2092, dtype=torch.float64)","tensor(0.0004, dtype=torch.float64)",COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NC(=O)NCc1ccc(N(C)C)cc1,21
"[0.2577646743878788, 0.12815, 0.7480714285714286, 0.40186333333333346]","tensor(0.2022, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.12429393040897442,24.0,"('crossover', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(OC(F)(F)F)cc1', 'Cc1c(C)c2c(c(C)c1N)CC(C)(CSc1ccc(O)cc1)O2')","tensor(0.2022, dtype=torch.float64)","tensor(0.0003, dtype=torch.float64)",COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCO,24
"[0.5216545836242426, 0.564186666666667, 0.5607857142857142, 0.7971100000000004]","tensor(1.7581e-56, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.2333665141794671,37.0,"('crossover', 'COc1c(C)c(C)c2c(c1CCc1ccc(O)c(O)c1)CCC(C)(C)O2', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(N(C)C)cc1')","tensor(0.2171, dtype=torch.float64)","tensor(0.0004, dtype=torch.float64)",Cc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(N(C)C)cc1,37
"[0.5248005210060606, 0.8230300000000005, 0.7706428571428572, 0.7903111111111116]","tensor(2.8932e-09, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.26322148319018335,38.0,"('crossover', 'Cc1ccc(NC(=O)C2(C)CCc3c(C)c(O)c(C)c(C)c3O2)cc1NC(=O)c1cnoc1C', 'COc1c(C)c(C)c2c(c1CCc1ccc(O)c(O)c1)CCC(C)(C)O2')","tensor(0.1941, dtype=torch.float64)","tensor(0.0004, dtype=torch.float64)",Cc1ccc(NC(=O)C2(C)CCc3c(C)c(O)c(C)c(C)c3O2)cc1NC(=O)O,38
"[0.5553869042181816, 0.8746266666666674, 0.2567142857142857, 0.9492533333333342]","tensor(0.0426, dtype=torch.float64)",[0 1 0 ... 0 1 0],0.15707727814035236,40.0,"('crossover', 'Cc1ccc(CC2CC(=O)NC(=O)S2)c(C)c1Oc1ccc(O)c(C(C)C)c1', 'COc1ccc(N2CCN(c3c(C)c(C)c4c(c3C)CC(C)(CO)O4)CC2)cc1')","tensor(0.1868, dtype=torch.float64)","tensor(0.0004, dtype=torch.float64)",Cc1c(C)c(N2CCN(c3ccc(C(C)C)cc3)CC2)c(C)c2c1OC(C)(CO)C2,40
"[0.3155907575030302, 0.8142600000000008, 0.3962857142857143, 0.6292577777777781]",,[0 0 0 ... 0 0 0],0.23162029982980414,,"('database', 'no reaction', 'no parent')",,,Cc1c(C)c2c(c(C)c1N)CC(C)(CSc1ccc(O)cc1)O2,50
"[0.6038563424606057, 0.8185933333333342, 0.3226428571428572, 0.9678644444444452]","tensor(0.0015, dtype=torch.float64)",[0 1 0 ... 0 1 0],0.18202236836922792,53.0,"('crossover', 'Cc1cc(CC2SC(=O)NC2=O)cc(C)c1N(C)c1ccc(O)c(C(C)C)c1', 'COc1ccc(N2CCN(c3c(C)c(C)c4c(c3C)CC(C)(CO)O4)CC2)cc1')","tensor(0.1821, dtype=torch.float64)","tensor(0.0004, dtype=torch.float64)",Cc1c(C)c(N2CCN(c3ccc(OC(C)C)cc3)CC2)c(C)c2c1OC(C)(CO)C2,53
"[0.4273770107515151, 0.3305666666666666, 0.7254999999999999, 0.5581933333333338]","tensor(0.1948, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.14278838739937638,61.0,"('crossover', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(OC(F)(F)F)cc1', 'Cc1c(C)c2c(c(C)c1N)CC(C)(CSc1ccc(O)cc1)O2')","tensor(0.1948, dtype=torch.float64)","tensor(0.0005, dtype=torch.float64)",COc1ccc(CC2SC(=O)NC2=O)cc1CC1SC(=O)NC1=O,61
"[0.5277285735757575, 0.9514900000000007, 0.5402142857142858, 0.793605555555556]",,[0 1 0 ... 0 0 0],0.26796016206804363,,"('database', 'no reaction', 'no parent')",,,Cc1ccc(CC2CC(=O)NC(=O)S2)c(C)c1Oc1ccc(O)c(C(C)C)c1,67
"[0.7218506697818182, 0.8995000000000006, 0.8120714285714286, 0.9852633333333336]",,[0 0 0 ... 0 0 0],0.21937686116569458,,"('database', 'no reaction', 'no parent')",,,Cc1ccc(NC(=O)C2(C)CCc3c(C)c(O)c(C)c(C)c3O2)cc1NC(=O)c1cnoc1C,72
"[0.33049194711515134, 0.49773666666666666, 0.7314999999999999, 0.4644966666666671]","tensor(0.1807, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.1437620595062423,73.0,"('crossover', 'Cc1c(O)c(C)c2c(c1O)C(=O)C(Cc1ccc(O)cc1)CO2', 'Cc1oc(-c2ccco2)nc1CCC(=O)c1ccc(CC2SC(=O)NC2=O)cc1')","tensor(0.1807, dtype=torch.float64)","tensor(0.0005, dtype=torch.float64)",Cc1oc(-c2ccco2)nc1CCC(=O)CC1SC(=O)NC1=O,73
"[0.7882057964727271, 0.6676533333333335, 0.7827142857142858, 0.9536722222222227]","tensor(0.0106, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.1757615405030746,78.0,"('mutation', '[*;!R:1]~[*:2]>>[*:1]C[*:2]', 'Cc1oc(-c2ccccc2)nc1CN(C)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1')","tensor(0.1858, dtype=torch.float64)","tensor(0.0004, dtype=torch.float64)",Cc1oc(-c2ccccc2)nc1CN(C)S(=O)(=O)Cc1ccc(CC2SC(=O)NC2=O)cc1,78
"[0.6941849312242425, 0.6529833333333336, 0.6695, 0.7323433333333335]",,[0 0 0 ... 0 0 0],0.19328336279081035,,"('database', 'no reaction', 'no parent')",,,COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(OC(F)(F)F)cc1,80
"[0.0849723600969697, 0.29914999999999997, 0.5402142857142856, 0.2586722222222225]","tensor(0.1995, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.11392208724459946,81.0,"('crossover', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(C)cc1', 'COc1ccc(N2CCN(c3c(C)c(C)c4c(c3C)CC(C)(CO)O4)CC2)cc1')","tensor(0.1995, dtype=torch.float64)","tensor(0.0005, dtype=torch.float64)",COc1ccc(CC2SC(=O)NC2=O)cc1O,81
"[0.4427852398545454, 0.7642166666666671, 0.5402142857142856, 0.6978388888888891]","tensor(0.0216, dtype=torch.float64)",[0 1 0 ... 0 0 0],0.20557842882688301,83.0,"('crossover', 'Cc1ccc(CC2CC(=O)NC(=O)S2)c(C)c1Oc1ccc(O)c(C(C)C)c1', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(N(C)C)cc1')","tensor(0.2109, dtype=torch.float64)","tensor(0.0006, dtype=torch.float64)",COc1ccc(CC2SC(=O)NC2=O)cc1-c1ccc(O)c(C(C)C)c1,83
"[0.8669772455151515, 0.5056833333333334, 0.8773571428571428, 0.8768955555555558]","tensor(0.1936, dtype=torch.float64)",[0 0 0 ... 0 0 0],0.20616496054433392,88.0,"('crossover', 'COc1c(C)c(C)c2c(c1CCc1ccc(O)c(O)c1)CCC(C)(C)O2', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(OC(F)(F)F)cc1')","tensor(0.1936, dtype=torch.float64)","tensor(0.0003, dtype=torch.float64)",COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCC(=O)NCc1ccc(OC(F)(F)F)cc1,88
