acquisition_value,descriptor,fingerprint,fitness,niche_index,pedigree,predicted_fitness,predicted_uncertainty,smiles
,"[0.5247467081575757, 0.8824066666666673, 0.49742857142857144, 0.8310722222222224]",[0 1 0 ... 0 0 0],0.3728813559322034,,"('database', 'no reaction', 'no parent')",,,Cc1cc(CC2SC(=O)NC2=O)cc(C)c1N(C)c1ccc(O)c(C(C)C)c1
0.365332130190318,"[0.14285225606060614, 0.7751433333333341, 0.3042857142857143, 0.4147422222222226]",[0 0 1 ... 0 0 0],0.41,16.0,"('crossover', 'Cc1oc(-c2ccco2)nc1CCC(=O)c1ccc(CC2SC(=O)NC2=O)cc1', 'Cc1ccc(NC(=O)C2(C)CCc3c(C)c(O)c(C)c(C)c3O2)cc1NC(=O)c1cnoc1C')",0.36533227176076577,6.319847521334348e-05,Cc1c(C)c2c(c(C)c1O)CCC(C)(c1ccco1)O2
0.3624990643670041,"[0.9609928516969696, 0.9754000000000005, 0.6135, 0.9064933333333337]",[0 0 0 ... 0 0 0],0.16463414634146342,18.0,"('crossover', 'COc1ccc(CNC(=O)c2cc(CC3SC(=O)NC3=O)ccc2OC)cc1OC', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(OC(F)(F)F)cc1')",0.3624991524698354,6.365636628471246e-05,COc1ccc(C(=O)NCc2ccc(OC(F)(F)F)cc2)cc1C(=O)NCc1ccc(OC(F)(F)F)cc1
,"[0.6215753255272725, 0.5060833333333333, 0.7354285714285714, 0.803687777777778]",[0 0 0 ... 0 0 0],0.3492063492063492,,"('database', 'no reaction', 'no parent')",,,COc1ccc(CNC(=O)c2cc(CC3SC(=O)NC3=O)ccc2OC)cc1OC
0.36112912981640083,"[0.21529300752727273, 0.20138333333333333, 0.7480714285714286, 0.3429822222222223]",[0 0 0 ... 0 0 0],0.330188679245283,24.0,"('crossover', 'COc1ccc(CNC(=O)c2cc(CC3SC(=O)NC3=O)ccc2OC)cc1OC', 'Cc1ccc(NC(=O)C2(C)CCc3c(C)c(O)c(C)c(C)c3O2)cc1NC(=O)c1cnoc1C')",0.3611290666945575,5.5277229018000927e-05,COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NO
0.3682574316389604,"[0.22765880607272734, 0.6884000000000005, 0.2591428571428572, 0.4761333333333337]",[0 0 0 ... 0 0 0],0.22131147540983606,35.0,"('crossover', 'COc1ccc2nc(COc3ccc(CC4SC(=O)NC4=O)cc3)n(C)c2c1', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(OC(F)(F)F)cc1')",0.36825738220199217,6.426529770424362e-05,COc1ccc2nc(COc3ccc(CF)cc3)n(C)c2c1
0.3677977905495785,"[0.5700137627515152, 0.5652166666666668, 0.6548571428571429, 0.760585555555556]",[0 0 0 ... 0 0 0],0.33070866141732286,37.0,"('mutation', '[*;!R:1]~[*:2]>>[*:1]O[*:2]', 'COc1ccc2nc(COc3ccc(CC4SC(=O)NC4=O)cc3)n(C)c2c1')",0.3677978564599461,6.103336437631842e-05,COc1ccc2nc(COc3ccc(OCC4SC(=O)NC4=O)cc3)n(C)c2c1
0.3653754047000222,"[0.630833346109091, 0.6867066666666669, 0.7948571428571428, 0.888576666666667]",[0 0 0 ... 0 0 0],0.2054794520547945,38.0,"('crossover', 'COc1ccc2nc(COc3ccc(CC4SC(=O)NC4=O)cc3)n(C)c2c1', 'Cc1ccc(NC(=O)C2(C)CCc3c(C)c(O)c(C)c(C)c3O2)cc1NC(=O)c1cnoc1C')",0.36537530183817285,6.524841476343278e-05,COc1ccc2nc(CC(=O)Nc3ccc(C)c(NC(=O)c4cnoc4C)c3)n(C)c2c1
0.007149719232914553,"[0.5553869042181816, 0.8664433333333341, 0.17814285714285716, 0.9379444444444451]",[0 0 0 ... 0 0 0],0.36,40.0,"('crossover', 'COc1ccc(CN2CCN(c3c(C)c(C)c4c(c3C)CC(C)(C)O4)CC2)cc1', 'Cc1c(C)c2c(c(C)c1O)CCC(C)(c1cc(-c3ccccc3)on1)O2')",0.36487329722618483,6.1003511290409064e-05,COc1ccc(CCN2CCN(c3c(C)c(C)c4c(c3C)CC(C)(C)O4)CC2)cc1
0.36551770724318206,"[0.4003599779272726, 0.8240766666666671, 0.4622857142857143, 0.4644977777777781]",[0 0 1 ... 0 0 0],0.35398230088495575,42.0,"('crossover', 'Cc1c(C)c2c(c(C)c1O)CCC(C)(c1cc(-c3ccccc3)on1)O2', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(OC(F)(F)F)cc1')",0.36551756883799463,6.144576377621275e-05,Cc1c(C)c2c(c(C)c1O)CCC(C)(c1cc(OC(F)(F)F)on1)O2
