index,smiles,pedigree,descriptors,fitnesses
0,CCN1CCN(CN2CCN(C3SC(=O)NC3=O)CC2)CC1,"('crossover', 'CCN1CCN(CN2CCN(c3c(C)c(C)c4c(c3C)CC(C)(C)O4)CC2)CC1', 'CN(CCC1SC(=O)NC1=O)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1')","[0.3096148364848485, 0.0013500000000004435, 0.4223571428571429, 0.517974444444445]",0.15503875968992248
2,Cc1c(O)c(C)c2c(c1O)C(=O)C(Cc1ccc(O)cc1)CO2,"('database', 'no reaction', 'no parent')","[0.2700467384121211, 0.5590400000000003, 0.6213571428571429, 0.4930211111111114]",0.35454545454545455
4,CCN1CCN(c2c(C)c3c(c(C)c2CO)OC(C)(C)C3)CC1,"('crossover', 'CN(CO)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1', 'CCN1CCN(c2c(C)c(C)c3c(c2C)CC(C)(C)O3)CC1')","[0.28251735818181817, 0.5251900000000002, 0.2567142857142857, 0.6064088888888896]",0.21138211382113822
7,CCN1CCN(CN2CCN(C)CC2)CC1,"('crossover', 'Cc1c(C)c2c(c(C)c1O)CCC(C)(c1cc(-c3ccc(CC4SC(=O)NC4=O)cc3)no1)O2', 'CCN1CCN(CN2CCN(c3c(C)c(C)c4c(c3C)CC(C)(C)O4)CC2)CC1')","[0.0036840813090908463, 0.05480000000000037, 0.09257142857142858, 0.3069333333333339]",0.047619047619047616
13,CCN1CCN(c2ccc(CC3SC(=O)NC3=O)cc2)CC1,"('crossover', 'CN(CO)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1', 'CCN1CCN(c2c(C)c(C)c3c(c2C)CC(C)(C)O3)CC1')","[0.2852589330666667, 0.37043333333333334, 0.37607142857142856, 0.5487855555555561]",0.3669724770642202
14,Cc1c(C)c2c(c(C)c1O)CCC(C)(c1cc(-c3ccc(CC4SC(=O)NC4=O)cc3)no1)O2,"('crossover', 'CN(O)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1', 'Cc1c(C)c2c(c(C)c1O)CCC(C)(c1cc(O)no1)O2')","[0.7671401300969697, 0.9344933333333344, 0.7261428571428572, 0.9908833333333336]",0.6605504587155964
16,COC1(C)CCc2c(C)c(O)c(C(F)(F)F)c(C)c2O1,"('crossover', 'COc1ccc(Cc2ccc(OC(F)(F)F)cc2)cc1', 'COC1(C)CCc2c(C)c(O)c(C)c(C)c2O1')","[0.19731205776969699, 0.7025733333333338, 0.27635714285714286, 0.299397777777778]",0.3018867924528302
18,COc1ccc(CC2SC(=O)NC2=O)cc1-c1c(C)c(O)c(C(F)(F)F)c2c1OC(C)(C)CC2,"('crossover', 'Cc1c(C)c2c(c(C(F)(F)F)c1O)CCC(C)(C)O2', 'COc1ccc(CC2SC(=O)NC2=O)cc1C=NC1SC(=O)NC1=O')","[0.818584025842424, 0.9821200000000007, 0.6061428571428571, 0.9053722222222226]",0.48333333333333334
19,Cc1c(C)c(OBr)c(C(F)(F)F)c2c1OC(C)(C)CC2,"('mutation', '[*;!H0;!R:1]>>[*:1]-Br', 'Cc1c(C)c2c(c(C(F)(F)F)c1O)CCC(C)(C)O2')","[0.38493508033939383, 0.9357566666666671, 0.13185714285714287, 0.3722333333333337]",0.2545454545454545
21,Cc1c(O)c(C)c2c(c1O)C(=O)C(Cc1ccc(CC3SC(=O)NC3=O)cc1)CO2,"('crossover', 'CCN1CCN(Cc2ccc(CC3SC(=O)NC3=O)cc2)CC1', 'Cc1c(O)c(C)c2c(c1O)C(=O)C(Cc1ccc(O)cc1)CO2')","[0.6124513890666666, 0.5904566666666667, 0.8066428571428571, 0.7925422222222226]",0.49557522123893805
24,CN(CO)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1,"('crossover', 'CN(Cc1ccc(O)cc1)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1', 'COc1ccc(-c2cc(-c3c(O)c(C)c(C)c4c3CCC(C)(O)O4)no2)cc1')","[0.318286101660606, 0.10849999999999986, 0.7412857142857143, 0.4122033333333336]",0.375
27,COc1ccc(CC2SC(=O)NC2=O)cc1C(F)=NC1SC(=O)NC1=O,"('mutation', '[*;!H0;!R:1]>>[*:1]-F', 'COc1ccc(CC2SC(=O)NC2=O)cc1C=NC1SC(=O)NC1=O')","[0.5212734566787877, 0.3524166666666666, 0.8137857142857141, 0.6019822222222225]",0.29508196721311475
35,Cc1c(C)c2c(c(C(F)(F)F)c1O)CCC(C)(C=S)O2,"('mutation', '[*;!H0;!R;!H1:1]>>[*:1]=S', 'Cc1c(C)c2c(c(C(F)(F)F)c1O)CCC(C)(C)O2')","[0.23961965266666665, 0.7685400000000003, 0.21042857142857144, 0.3732422222222226]",0.2777777777777778
37,CCOc1ccc2nc(COc3ccc(CC4SC(=O)NC4=O)cc3)n(C)c2c1,"('mutation', '[*;!H0;!R:1]>>[*:1]-C', 'COc1ccc2nc(COc3ccc(CC4SC(=O)NC4=O)cc3)n(C)c2c1')","[0.564015991369697, 0.657516666666667, 0.5889285714285716, 0.791985555555556]",0.4083333333333333
38,Cc1c(C)c2c(c(-c3cc(-c4ccc([N+](=O)[O-])cc4)no3)c1O)CCC(C)(CO)O2,"('mutation', '[*;!H0;!R:1]>>[*:1]-O', 'Cc1c(C)c2c(c(-c3cc(-c4ccc([N+](=O)[O-])cc4)no3)c1O)CCC(C)(C)O2')","[0.5610538982545451, 0.8025400000000008, 0.8490000000000001, 0.7734222222222226]",0.38524590163934425
40,COc1ccc(CN2CCN(c3c(C)c(C)c4c(c3C)CC(C)(C)O4)CC2)cc1,"('database', 'no reaction', 'no parent')","[0.5129152373575755, 0.8593600000000007, 0.17814285714285716, 0.8838666666666674]",0.35772357723577236
42,COC1(C)CCc2c(c(C)c(C)c(O)c2-c2ccc([N+](=O)[O-])cc2)O1,"('crossover', 'COc1ccc2nc(COc3ccc(CC4SC(=O)NC4=O)cc3)n(C)c2c1', 'COC1(C)CCc2c(c(C)c(C)c(O)c2-c2cc(-c3ccc([N+](=O)[O-])cc3)no2)O1')","[0.3580059780969696, 0.7953066666666674, 0.5845, 0.6003800000000002]",0.38738738738738737
44,COC1(CC2SC(=O)NC2=O)CCc2c(c(C)c(C)c(O)c2[N+](=O)[O-])O1,"('crossover', 'COC1(C)CCc2c(c(C)c(C)c(O)c2[N+](=O)[O-])O1', 'Cc1oc(-c2ccccc2)nc1CN(C)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1')","[0.47601052095757546, 0.4711066666666668, 0.9142857142857143, 0.5828766666666672]",0.45794392523364486
50,Cc1c(C)c2c(c(C)c1O)CC(C)(CCc1ccc([N+](=O)[O-])cc1)O2,"('crossover', 'Cc1c(C)c2c(c(C)c1O)CC(C)(CCC1SC(=O)NC1=O)O2', 'Cc1c(C)c2c(c(-c3cc(-c4ccc([N+](=O)[O-])cc4)no3)c1O)CCC(C)(CO)O2')","[0.3520082067151513, 0.8420100000000007, 0.5185714285714287, 0.6274688888888892]",0.4666666666666667
51,COc1ccc(COc2ccc(CO)cc2)cc1,"('crossover', 'COc1ccc(C2(c3cc(O)no3)CCc3c(C)c(O)c(C)c(C)c3O2)cc1', 'COc1ccc(COc2ccc(CC3SC(=O)NC3=O)cc2)cc1')","[0.057908922339393945, 0.5444166666666668, 0.27635714285714286, 0.32989777777777807]",0.22123893805309736
53,COc1ccc(CN2CCN(OC3(C)CCc4c(C)c(O)c(C)c(C)c4O3)CC2)cc1,"('crossover', 'COC1(C)CCc2c(C)c(O)c(C)c(C)c2O1', 'COc1ccc(CN2CCN(c3c(C)c(C)c4c(c3C)CC(C)(C)O4)CC2)cc1')","[0.609854113842424, 0.769443333333334, 0.3885714285714286, 0.8955644444444449]",0.453781512605042
61,CN(CO)S(=O)(=O)c1ccc(-c2ccc(CC3SC(=O)NC3=O)cc2)cc1,"('crossover', 'Cc1c(C)c2c(c(C)c1O)CCC(C)(c1cc(-c3ccccc3)no1)O2', 'CN(CO)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1')","[0.5486839808363636, 0.38633333333333325, 0.7412857142857143, 0.6948255555555557]",0.3416666666666667
67,Cc1c(C)c2c(c(-c3ccc(CC4CC(=O)NC4=O)cc3)c1O)CCC(C)(C)O2,"('crossover', 'Cc1c(C)c2c(c(-c3cc(Oc4ccc(CC5CC(=O)NC5=O)cc4)no3)c1O)CCC(C)(C)O2', 'CN(CCC1SC(=O)NC1=O)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1')","[0.5096788131636364, 0.7474733333333338, 0.5402142857142858, 0.7889500000000006]",0.5229357798165137
72,COc1ccc(CC2SC(=O)NC2=O)cc1-c1c(C)c(O)c(C(F)(F)F)c2c1OC(C)(CO)CC2,"('crossover', 'Cc1c(C)c2c(c(-c3cc(-c4ccc([N+](=O)[O-])cc4)no3)c1O)CCC(C)(CO)O2', 'COc1ccc(CC2SC(=O)NC2=O)cc1-c1c(C)c(O)c(C(F)(F)F)c2c1OC(C)(C)CC2')","[0.8670534640848482, 0.8108533333333338, 0.7506428571428572, 0.9210588888888893]",0.5083333333333333
73,Cc1c(C)c2c(c(CC3CC(=O)NC3=O)c1O)CCC(C)(C)O2,"('crossover', 'Cc1c(C)c2c(c(-c3cc(Oc4ccc(CC5CC(=O)NC5=O)cc4)no3)c1O)CCC(C)(C)O2', 'Cc1c(C)c2c(c(-c3cc(-c4ccc([N+](=O)[O-])cc4)no3)c1O)CCC(C)(CO)O2')","[0.2792809339878788, 0.46964000000000006, 0.5402142857142858, 0.5063277777777782]",0.4095238095238095
