index,smiles,pedigree,descriptors,fitnesses
2,Cc1c(O)c(C)c2c(c1O)C(=O)C(Cc1ccc(O)cc1)CO2,"('database', 'no reaction', 'no parent')","[0.2700467384121211, 0.5590400000000003, 0.6213571428571429, 0.4930211111111114]",0.35454545454545455
13,COc1ccc(N2CCN(Cc3ccc(O)c(O)c3)CC2)cc1,"('crossover', 'COc1ccc(N2CCN(c3c(C)c(C)c4c(c3C)CC(C)(CO)O4)CC2)cc1', 'Cc1c(C)c2c(c(Cc3noc(CCc4ccc(O)c(O)c4)n3)c1O)CCC(C)(C)O2')","[0.2701910380727273, 0.48810000000000003, 0.40121428571428575, 0.5583955555555559]",0.1968503937007874
14,Cc1c(C)c2c(c(C)c1O)CCC(C)(c1cc(-c3ccc(CC4SC(=O)NC4=O)cc3)no1)O2,"('crossover', 'CN(O)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1', 'Cc1c(C)c2c(c(C)c1O)CCC(C)(c1cc(O)no1)O2')","[0.7671401300969697, 0.9344933333333344, 0.7261428571428572, 0.9908833333333336]",0.6605504587155964
16,Cc1c(C)c2c(c(C(F)(F)F)c1O)CCC(C)(C)O2,"('crossover', 'Cc1c(C)c2c(c(Cc3noc(CCc4ccc(O)c(O)c4)n3)c1O)CCC(C)(C)O2', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(OC(F)(F)F)cc1')","[0.14884261952727282, 0.7719066666666672, 0.21042857142857144, 0.2845644444444449]",0.2980769230769231
18,COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)N(Cl)Cc1ccc(OC(F)(F)F)cc1,"('mutation', '[*;!H0;!R:1]>>[*:1]-Cl', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(OC(F)(F)F)cc1')","[0.7970971362181818, 0.7973500000000006, 0.6067142857142857, 0.7829688888888892]",0.3384615384615385
21,CN(O)S(=O)(=O)c1ccc(COc2ccc(CC3SC(=O)NC3=O)cc2)cc1,"('crossover', 'COc1ccc(CC2SC(=O)NC2=O)cc1', 'CN(O)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1')","[0.5971534190787879, 0.4448999999999999, 0.8072142857142857, 0.6952555555555558]",0.4017094017094017
24,CN(CO)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1,"('crossover', 'CN(Cc1ccc(O)cc1)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1', 'COc1ccc(-c2cc(-c3c(O)c(C)c(C)c4c3CCC(C)(O)O4)no2)cc1')","[0.318286101660606, 0.10849999999999986, 0.7412857142857143, 0.4122033333333336]",0.375
35,COc1ccc(CCNCc2ccc(OC(F)(F)F)cc2)cc1,"('crossover', 'COc1ccc(CC2SC(=O)NC2=O)cc1', 'COc1ccc(CC2SC(=O)NC2=O)cc1CNCc1ccc(OC(F)(F)F)cc1')","[0.3034211014424243, 0.7376833333333338, 0.21778571428571428, 0.46144111111111147]",0.17054263565891473
37,CCOc1ccc2nc(COc3ccc(CC4SC(=O)NC4=O)cc3)n(C)c2c1,"('mutation', '[*;!H0;!R:1]>>[*:1]-C', 'COc1ccc2nc(COc3ccc(CC4SC(=O)NC4=O)cc3)n(C)c2c1')","[0.564015991369697, 0.657516666666667, 0.5889285714285716, 0.791985555555556]",0.4083333333333333
38,Cc1c(C)c2c(c(-c3cc(-c4ccc([N+](=O)[O-])cc4)no3)c1O)CCC(C)(CO)O2,"('mutation', '[*;!H0;!R:1]>>[*:1]-O', 'Cc1c(C)c2c(c(-c3cc(-c4ccc([N+](=O)[O-])cc4)no3)c1O)CCC(C)(C)O2')","[0.5610538982545451, 0.8025400000000008, 0.8490000000000001, 0.7734222222222226]",0.38524590163934425
